epoca,train_loss,train_acc,val_loss,val_acc,lr,tiempo_s
1,1.175827,0.689095,0.796019,0.77665,0.0001,739.35
2,0.546611,0.84816,0.686187,0.8,0.0001,753.97
3,0.346288,0.894333,0.626363,0.818274,0.0001,752.96
4,0.236917,0.926507,0.767788,0.809137,0.0001,758.66
5,0.198962,0.942989,0.657125,0.822335,0.0001,667.22
6,0.158673,0.952472,0.642027,0.833503,0.0001,656.7
7,0.139625,0.956311,0.736188,0.836548,0.0001,645.05
8,0.123413,0.962294,0.730374,0.825381,0.0001,649.1
9,0.108152,0.967148,0.877605,0.822335,0.0001,655.57
10,0.103969,0.967713,0.791089,0.829442,0.0001,675.27
11,0.096357,0.971212,0.800084,0.847716,0.0001,728.15
12,0.088157,0.97189,0.855915,0.84264,0.0001,764.36
13,0.083876,0.975954,0.755793,0.826396,0.0001,710.75
14,0.08269,0.974261,0.818018,0.833503,0.0001,727.85
15,0.083573,0.974486,0.90741,0.82335,0.0001,694.75
16,0.079846,0.975728,1.022596,0.84264,0.0001,690.05
17,0.072283,0.977873,0.645989,0.835533,0.0001,749.28
18,0.072128,0.977196,0.875801,0.847716,0.0001,753.9
19,0.074071,0.97855,0.706262,0.854822,0.0001,754.64
20,0.069585,0.979341,0.691972,0.831472,7e-05,758.41
21,0.050532,0.983856,0.859182,0.826396,7e-05,753.94
22,0.046727,0.984647,0.779156,0.84467,7e-05,749.23
23,0.042681,0.988372,0.735866,0.849746,7e-05,750.33
24,0.039847,0.986566,0.804419,0.839594,7e-05,755.02
25,0.039936,0.988033,0.858751,0.849746,7e-05,750.11
26,0.042182,0.986227,0.841149,0.843655,7e-05,790.84
27,0.038709,0.987469,0.754585,0.851777,7e-05,768.77
28,0.039665,0.988033,0.971379,0.832487,7e-05,764.99
29,0.039845,0.987356,1.015383,0.843655,7e-05,771.57
30,0.039592,0.989275,0.926758,0.84264,7e-05,763.85
31,0.042014,0.987469,0.864537,0.839594,7e-05,747.64
32,0.041101,0.988824,0.839325,0.831472,7e-05,746.94
33,0.039851,0.988259,0.924644,0.840609,7e-05,747.07
34,0.037151,0.988485,0.916044,0.838579,7e-05,730.66
35,0.033685,0.988824,0.988141,0.835533,7e-05,690.83
36,0.035868,0.989162,0.894417,0.835533,7e-05,760.6
37,0.037321,0.988146,0.923957,0.84264,7e-05,762.31
38,0.03616,0.989275,1.077036,0.851777,7e-05,760.1
39,0.036382,0.989388,0.941665,0.84264,7e-05,760.53
