epoca,train_loss,train_iou,val_loss,val_iou,lr,tiempo_s
90,0.100062,0.932483,0.713457,0.705852,0.0002401,31.96
91,0.10119,0.931319,0.732769,0.617926,0.0002401,31.97
92,0.100603,0.931756,0.758435,0.604488,0.0002401,31.95
93,0.10027,0.932465,0.66888,0.710527,0.0002401,31.96
94,0.10012,0.932261,0.707066,0.619703,0.0002401,31.98
95,0.099781,0.932778,1.479059,0.500755,0.0002401,31.97
96,0.098973,0.933568,0.599555,0.689115,0.0002401,31.93
97,0.098721,0.933887,1.653226,0.490079,0.0002401,31.95
98,0.099634,0.933006,0.700473,0.62524,0.0002401,31.97
99,0.098027,0.93462,1.170633,0.537547,0.0002401,31.97
100,0.099457,0.933107,1.085893,0.537834,0.00016807,31.95
101,0.095237,0.937479,0.639532,0.719955,0.00016807,31.85
102,0.091963,0.940707,1.038855,0.546454,0.00016807,31.93
103,0.091669,0.941144,0.616481,0.720949,0.00016807,31.96
104,0.090792,0.942004,0.642064,0.674478,0.00016807,31.99
