epoca,train_loss,train_acc,val_loss,val_acc,lr,tiempo_s
1,1.910334,0.49509,1.028703,0.70935,0.001,56.72
2,1.167146,0.670956,0.816381,0.786585,0.001,48.27
3,0.902011,0.738007,0.726387,0.786585,0.001,48.6
4,0.794384,0.766452,0.725395,0.789634,0.001,48.5
5,0.685746,0.793205,0.605186,0.819106,0.001,48.47
6,0.635548,0.805057,0.675918,0.795732,0.001,49.08
7,0.571746,0.826504,0.604474,0.808943,0.001,47.48
8,0.526769,0.83576,0.561008,0.827236,0.001,47.49
9,0.498474,0.844791,0.545847,0.837398,0.001,47.6
10,0.437513,0.86827,0.618919,0.808943,0.001,47.57
11,0.430808,0.867592,0.649244,0.816057,0.001,47.65
12,0.401744,0.876284,0.619304,0.816057,0.001,47.51
13,0.363647,0.886105,0.565261,0.85061,0.001,47.6
14,0.354586,0.88983,0.610024,0.837398,0.001,47.47
15,0.33374,0.89299,0.530237,0.849593,0.001,47.63
16,0.290355,0.905407,0.596905,0.838415,0.001,47.6
17,0.296261,0.905068,0.583379,0.837398,0.001,47.63
18,0.256987,0.919065,0.625267,0.832317,0.001,47.56
19,0.272345,0.912293,0.618319,0.833333,0.001,47.52
20,0.227028,0.924596,0.626078,0.833333,0.0007,47.6
21,0.16009,0.948188,0.518438,0.849593,0.0007,47.57
22,0.143364,0.955864,0.571813,0.847561,0.0007,47.56
23,0.141709,0.952478,0.637686,0.839431,0.0007,47.45
24,0.123735,0.961282,0.634445,0.841463,0.0007,47.6
25,0.126797,0.957332,0.648102,0.831301,0.0007,47.54
26,0.120077,0.962637,0.690532,0.846545,0.0007,47.51
27,0.125541,0.958235,0.639188,0.859756,0.0007,47.64
28,0.105087,0.965685,0.643288,0.855691,0.0007,47.44
29,0.095498,0.970538,0.755909,0.838415,0.0007,47.51
30,0.103408,0.967378,0.787095,0.828252,0.0007,47.48
31,0.108107,0.968281,0.715225,0.840447,0.0007,47.49
32,0.117465,0.964782,0.71606,0.841463,0.0007,47.58
33,0.090436,0.972909,0.745387,0.831301,0.0007,47.53
34,0.071111,0.977763,0.821663,0.836382,0.0007,47.49
35,0.095149,0.970313,0.739221,0.843496,0.0007,47.47
36,0.098888,0.970313,0.693708,0.847561,0.0007,47.49
37,0.084624,0.974489,0.735,0.845528,0.0007,47.55
38,0.097461,0.969748,0.786826,0.831301,0.0007,47.61
39,0.083055,0.974828,0.723086,0.846545,0.0007,47.55
40,0.074022,0.975618,0.708491,0.849593,0.00049,47.58
41,0.050432,0.983858,0.66443,0.855691,0.00049,47.56
42,0.029107,0.990518,0.733351,0.85061,0.00049,47.59
43,0.032243,0.990744,0.733632,0.856707,0.00049,47.56
44,0.038683,0.988712,0.697786,0.864837,0.00049,47.5
45,0.048405,0.98589,0.705518,0.843496,0.00049,47.4
46,0.041916,0.987019,0.723484,0.848577,0.00049,47.52
47,0.045321,0.987357,0.743733,0.85061,0.00049,47.52
48,0.042884,0.988486,0.701959,0.856707,0.00049,47.45
49,0.052657,0.985213,0.710898,0.854675,0.00049,47.47
50,0.039655,0.987696,0.713001,0.856707,0.00049,47.44
51,0.035668,0.990179,0.714392,0.849593,0.00049,47.46
52,0.028069,0.992324,0.724896,0.844512,0.00049,47.43
53,0.040488,0.989051,0.698435,0.854675,0.00049,47.51
54,0.040688,0.988261,0.763659,0.838415,0.00049,47.46
55,0.033754,0.990631,0.738979,0.857724,0.00049,47.56
56,0.032501,0.990744,0.707238,0.853659,0.00049,47.52
57,0.052193,0.983971,0.723354,0.838415,0.00049,47.49
58,0.042929,0.98747,0.750258,0.840447,0.00049,47.46
59,0.038457,0.989389,0.76209,0.849593,0.00049,47.49
60,0.039372,0.987357,0.777771,0.840447,0.000343,47.48
61,0.015764,0.995711,0.721145,0.853659,0.000343,47.52
62,0.011455,0.997291,0.718157,0.856707,0.000343,47.46
63,0.016421,0.996049,0.749815,0.840447,0.000343,47.43
64,0.025092,0.993001,0.752161,0.854675,0.000343,47.4
